ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
1,20000.0,2,2,1,24,2,2,-1,-1,-2,-2,3913,3102.0,689.0,0,0.0,0.0,0.0,689.0,0.0,0.0,0.0,0.0,1
2,120000.0,2,2,2,26,-1,2,0,0,0,2,2682,1725.0,2682.0,3272,3455.0,3261.0,0.0,1000.0,1000.0,1000.0,0.0,2000.0,1
3,90000.0,2,2,2,34,0,0,0,0,0,0,29239,14027.0,13559.0,14331,14948.0,15549.0,1518.0,1500.0,1000.0,1000.0,1000.0,5000.0,0
4,50000.0,2,2,1,37,0,0,0,0,0,0,46990,48233.0,49291.0,28314,28959.0,29547.0,2000.0,2019.0,1200.0,1100.0,1069.0,1000.0,0
5,50000.0,1,2,1,57,-1,0,-1,0,0,0,8617,5670.0,35835.0,20940,19146.0,19131.0,2000.0,36681.0,10000.0,9000.0,689.0,679.0,0
6,50000.0,1,1,2,37,0,0,0,0,0,0,64400,57069.0,57608.0,19394,19619.0,20024.0,2500.0,1815.0,657.0,1000.0,1000.0,800.0,0
7,500000.0,1,1,2,29,0,0,0,0,0,0,367965,412023.0,445007.0,542653,483003.0,473944.0,55000.0,40000.0,38000.0,20239.0,13750.0,13770.0,0
8,100000.0,2,2,2,23,0,-1,-1,0,0,-1,11876,380.0,601.0,221,-159.0,567.0,380.0,601.0,0.0,581.0,1687.0,1542.0,0
9,140000.0,2,3,1,28,0,0,2,0,0,0,11285,14096.0,12108.0,12211,11793.0,3719.0,3329.0,0.0,432.0,1000.0,1000.0,1000.0,0
10,20000.0,1,3,2,35,-2,-2,-2,-2,-1,-1,0,0.0,0.0,0,13007.0,13912.0,0.0,0.0,0.0,13007.0,1122.0,0.0,0
11,200000.0,2,3,2,34,0,0,2,0,0,-1,11073,9787.0,5535.0,2513,1828.0,3731.0,2306.0,12.0,50.0,300.0,3738.0,66.0,0
12,260000.0,2,1,2,51,-1,-1,-1,-1,-1,2,12261,21670.0,9966.0,8517,22287.0,13668.0,21818.0,9966.0,8583.0,22301.0,0.0,3640.0,0
13,630000.0,2,2,2,41,-1,0,-1,-1,-1,-1,12137,6500.0,6500.0,6500,6500.0,2870.0,1000.0,6500.0,6500.0,6500.0,2870.0,0.0,0
14,70000.0,1,2,2,30,1,2,2,0,0,2,65802,67369.0,65701.0,66782,36137.0,36894.0,3200.0,0.0,3000.0,3000.0,1500.0,0.0,1
15,250000.0,1,1,2,29,0,0,0,0,0,0,70887,67060.0,63561.0,59696,56875.0,55512.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0
16,50000.0,2,3,3,23,1,2,0,0,0,0,50614,29173.0,28116.0,28771,29531.0,30211.0,0.0,1500.0,1100.0,1200.0,1300.0,1100.0,0
17,20000.0,1,1,2,24,0,0,2,2,2,2,15376,18010.0,17428.0,18338,17905.0,19104.0,3200.0,0.0,1500.0,0.0,1650.0,0.0,1
18,320000.0,1,1,1,49,0,0,0,-1,-1,-1,253286,246536.0,194663.0,70074,5856.0,195599.0,10358.0,10000.0,75940.0,20000.0,195599.0,50000.0,0
19,360000.0,2,1,1,49,1,-2,-2,-2,-2,-2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
20,180000.0,2,1,2,29,1,-2,-2,-2,-2,-2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
21,130000.0,2,3,2,39,0,0,0,0,0,-1,38358,27688.0,24489.0,20616,11802.0,930.0,3000.0,1537.0,1000.0,2000.0,930.0,33764.0,0
22,120000.0,2,2,1,39,-1,-1,-1,-1,-1,-1,316,316.0,316.0,0,632.0,316.0,316.0,316.0,0.0,632.0,316.0,0.0,1
23,70000.0,2,2,2,26,2,0,0,2,2,2,41087,42445.0,45020.0,44006,46905.0,46012.0,2007.0,3582.0,0.0,3601.0,0.0,1820.0,1
24,450000.0,2,1,1,40,-2,-2,-2,-2,-2,-2,5512,19420.0,1473.0,560,0.0,0.0,19428.0,1473.0,560.0,0.0,0.0,1128.0,1
25,90000.0,1,1,2,23,0,0,0,-1,0,0,4744,7070.0,0.0,5398,6360.0,8292.0,5757.0,0.0,5398.0,1200.0,2045.0,2000.0,0
26,50000.0,1,3,2,23,0,0,0,0,0,0,47620,41810.0,36023.0,28967,29829.0,30046.0,1973.0,1426.0,1001.0,1432.0,1062.0,997.0,0
27,60000.0,1,1,2,27,1,-2,-1,-1,-1,-1,-109,-425.0,259.0,-57,127.0,-189.0,0.0,1000.0,0.0,500.0,0.0,1000.0,1
28,50000.0,2,3,2,30,0,0,0,0,0,0,22541,16138.0,17163.0,17878,18931.0,19617.0,1300.0,1300.0,1000.0,1500.0,1000.0,1012.0,0
29,50000.0,2,3,1,47,-1,-1,-1,-1,-1,-1,650,3415.0,3416.0,2040,30430.0,257.0,3415.0,3421.0,2044.0,30430.0,257.0,0.0,0
30,50000.0,1,1,2,26,0,0,0,0,0,0,15329,16575.0,17496.0,17907,18375.0,11400.0,1500.0,1500.0,1000.0,1000.0,1600.0,0.0,0
